   1.0000000000e+00    3.8302185497e-01    0.0000000000e+00
   9.9504962960e-01    4.3600660423e-01   -7.0273277300e-04
   9.8979371890e-01    3.8108810780e-01   -1.4484182120e-03
   9.8421594050e-01    3.4261901215e-01   -2.2305962670e-03
   9.7830174360e-01    3.0686033147e-01   -3.0570825430e-03
   9.7203492240e-01    2.7931405726e-01   -3.9251262360e-03
   9.6539986420e-01    2.5485559154e-01   -4.8367294950e-03
   9.5838114940e-01    2.3183046198e-01   -5.7952363530e-03
   9.5096260980e-01    2.1263453932e-01   -6.7975143700e-03
   9.4312912760e-01    1.9284808127e-01   -7.8462018270e-03
   9.3486586160e-01    1.7448433246e-01   -8.9430992700e-03
   9.2615828420e-01    1.5763338514e-01   -1.0088214770e-02
   9.1699241830e-01    1.4050993328e-01   -1.1280203930e-02
   9.0735530610e-01    1.2439262958e-01   -1.2518549140e-02
   8.9723532000e-01    1.0898768981e-01   -1.3804556030e-02
   8.8662185720e-01    9.3297083080e-02   -1.5137385480e-02
   8.7550580510e-01    7.7966180764e-02   -1.6515980860e-02
   8.6387975450e-01    6.3362668360e-02   -1.7939022690e-02
   8.5173821680e-01    4.8356409307e-02   -1.9404876600e-02
   8.3907784740e-01    3.3837133156e-02   -2.0911602160e-02
   8.2589766400e-01    1.8842780189e-02   -2.2456953110e-02
   8.1219924910e-01    4.1513462517e-03   -2.4038310940e-02
   7.9798670980e-01   -1.0114294518e-02   -2.5650591440e-02
   7.8326736780e-01   -2.4472782520e-02   -2.7290698520e-02
   7.6805173790e-01   -3.9148278860e-02   -2.8956110800e-02
   7.5235340850e-01   -5.4195046365e-02   -3.0642695910e-02
   7.3618910910e-01   -6.9007766568e-02   -3.2344388520e-02
   7.1957871720e-01   -8.3862726501e-02   -3.4052652660e-02
   7.0254631650e-01   -9.9370426801e-02   -3.5766759760e-02
   6.8511859900e-01   -1.1473504728e-01   -3.7478757630e-02
   6.6732529000e-01   -1.3045602923e-01   -3.9178191380e-02
   6.4920022280e-01   -1.4668529566e-01   -4.0864949810e-02
