  -3.3401887736e-02    6.5680193431e-02 0.0
  -4.5582198272e-02    5.9058233714e-02 0.0
  -3.0437047362e-02    5.2870641805e-02 0.0
  -3.3401887736e-02    6.5680193431e-02 0.0

   8.0073773787e+01    1.3345121243e+01 0.0
   8.8690210493e+01    1.0292750856e+01 0.0
   8.6303015939e+01    1.7111042320e+01 0.0
   8.0073773787e+01    1.3345121243e+01 0.0

   9.5606458330e+01    3.0899216560e+01 0.0
   9.1854102630e+01    4.0674659600e+01 0.0
   8.7987435477e+01    3.3316260476e+01 0.0
   9.5606458330e+01    3.0899216560e+01 0.0

   7.3472003861e+01   -1.2151429808e+01 0.0
   8.1726506302e+01   -1.0644035249e+01 0.0
   7.6507395343e+01   -4.5001997263e+00 0.0
   7.3472003861e+01   -1.2151429808e+01 0.0

   8.6303015939e+01    1.7111042320e+01 0.0
   8.8690210493e+01    1.0292750856e+01 0.0
   9.2621050834e+01    1.6153684204e+01 0.0
   8.6303015939e+01    1.7111042320e+01 0.0

   8.7099192550e+01    5.0005798150e+01 0.0
   7.4712261567e+01    5.3471273587e+01 0.0
   7.5963615933e+01    4.5125442829e+01 0.0
   8.7099192550e+01    5.0005798150e+01 0.0

   8.1726506302e+01   -1.0644035249e+01 0.0
   9.0586938620e+01   -1.3826371410e+01 0.0
   8.8397184200e+01   -6.4605395521e+00 0.0
   8.1726506302e+01   -1.0644035249e+01 0.0

   5.5680580815e+01   -4.4620758074e+01 0.0
   6.0389041812e+01   -5.2156758544e+01 0.0
   6.2687511299e+01   -4.0127178099e+01 0.0
   5.5680580815e+01   -4.4620758074e+01 0.0

   8.0187200844e+01   -3.6592802754e+01 0.0
   8.4376604466e+01   -2.8317311288e+01 0.0
   7.4304654104e+01   -2.8170167607e+01 0.0
   8.0187200844e+01   -3.6592802754e+01 0.0

   8.0836063886e+01   -1.9697830767e+01 0.0
   8.9944283561e+01   -2.2705822418e+01 0.0
   9.0586938620e+01   -1.3826371410e+01 0.0
   8.0836063886e+01   -1.9697830767e+01 0.0

   8.1398561300e+01    5.8782844260e+01 0.0
   7.0374421005e+01    6.1503577162e+01 0.0
   7.4712261567e+01    5.3471273587e+01 0.0
   8.1398561300e+01    5.8782844260e+01 0.0

   8.9944283561e+01   -2.2705822418e+01 0.0
   9.5606458330e+01   -3.0899216560e+01 0.0
   9.8315352410e+01   -2.0788382140e+01 0.0
   8.9944283561e+01   -2.2705822418e+01 0.0

   6.3108830598e+01    5.8813506216e+01 0.0
   5.6893069514e+01    6.1734621502e+01 0.0
   5.8677062516e+01    5.2129088850e+01 0.0
   6.3108830598e+01    5.8813506216e+01 0.0

  -1.2575870026e+01   -8.0647671853e+01 0.0
  -1.7065300272e+01   -7.1978532641e+01 0.0
  -1.9351181198e+01   -7.9275668230e+01 0.0
  -1.2575870026e+01   -8.0647671853e+01 0.0

   7.0374421005e+01    6.1503577162e+01 0.0
   6.3108830598e+01    5.8813506216e+01 0.0
   6.6554285579e+01    5.4796572391e+01 0.0
   7.0374421005e+01    6.1503577162e+01 0.0

   8.7380813676e+01   -3.5896346642e+01 0.0
   8.4879701848e+01   -4.2997742882e+01 0.0
